OS	Type	FileSystem	Size	Compress	Encryption	Cluster	Format	Arch	Cores	Memory	Locale	Protocol	Port
Windows	Logical	Btrfs	1000	On	None	1000	Quick	x86	8	1024	en-US	TCP	80
FreeBSD	Primary	ZFS	20000	On	AES128	10	Quick	x86	2	16384	de-DE	TCP	80
FreeBSD	Spanned	ZFS	5000	On	None	5000	Quick	x86	8	1024	ar-EG	TCP	80
FreeBSD	~Single	ZFS	5000	On	None	5000	Quick	x86	16	1024	en-US	TCP	80
Windows	Primary	FAT	20000	On	AES256	20000	Quick	riscv	1	4096	de-DE	TCP	80
macOS	Primary	APFS	5000	On	~Weak	10	Quick	x86	2	512	ar-EG	TCP	80
Windows	Primary	FAT	20000	On	None	10	Quick	x86	2	512	en-US	TCP	80
Windows	Spanned	NTFS	10	On	None	20000	Quick	x86	4	1024	en-US	TCP	8080
Windows	~Single	FAT	10	On	None	20000	Quick	x86	1	512	en-US	TCP	80
macOS	Primary	APFS	10	On	~Weak	10	Quick	x86	8	1024	zh-CN	TCP	80
FreeBSD	Logical	Btrfs	5000	On	None	10	Quick	x86	16	16384	de-DE	TCP	~0
Linux	Primary	ext4	10	On	AES256	100	Quick	x86	1	16384	ar-EG	TCP	~0
FreeBSD	Logical	ZFS	20000	On	None	20000	Quick	x86	4	4096	en-US	TCP	~0
Windows	~Single	NTFS	10	On	None	1000	Quick	x64	1	512	ja-JP	TCP	80
Windows	Primary	Btrfs	10	On	AES128	5000	~Corrupt	x86	8	1024	zh-CN	TCP	80
Windows	Spanned	Btrfs	1000	On	None	10	Quick	x86	8	1024	ar-EG	TCP	80
Linux	Logical	ext4	100	On	None	20000	Quick	x86	16	1024	en-US	TCP	80
Linux	Spanned	ext4	10	On	None	100	Quick	x86	1	512	en-US	TCP	80
FreeBSD	Spanned	ZFS	10	On	None	1000	Quick	x86	2	512	en-US	TCP	80
Windows	Primary	FAT	100	On	AES256	100	Quick	x86	4	1024	zh-CN	QUIC	443
macOS	Logical	APFS	100	On	None	10	Quick	x86	1	512	en-US	TCP	80
Linux	~Single	ext4	10	On	None	10	Quick	x86	8	1024	en-US	TCP	80
Linux	Primary	FAT	5000	On	AES128	20000	Quick	arm64	1	512	zh-CN	TCP	80
Windows	Spanned	FAT	10	On	None	10	Quick	x86	1	512	en-US	TCP	80
FreeBSD	~Single	ZFS	10	On	None	20000	Quick	x86	8	1024	en-US	TCP	80
macOS	Primary	APFS	10	On	AES128	5000	Quick	x86	1	512	en-US	TCP	80
Windows	Logical	NTFS	20000	On	None	100	Quick	x86	1	512	zh-CN	TCP	80
macOS	~Single	APFS	20000	On	None	5000	Quick	x86	1	512	en-US	TCP	80
Windows	Logical	FAT	100	On	None	10	Quick	x86	1	512	en-US	TCP	80
Windows	Primary	FAT	10	On	~Weak	10	Quick	x86	1	512	de-DE	TCP	80
Windows	Primary	NTFS	10	On	AES256	1000	Quick	x86	1	512	en-US	TCP	80
Linux	Primary	FAT	10	On	AES256	10	Quick	arm64	2	16384	en-US	TCP	80
Windows	Primary	FAT	10	On	AES128	1000	Quick	x86	1	512	en-US	TCP	80
